"brand","Mean(energyConsumption)"
"AIWA",256.9999999999999
"BAUHN",272.5064935064935
"YOKOHAMA",298.6666666666667
"TEAC",300.375
"LOEWE",318.64285714285717
"SONIQ",320
"JVC",320.2830188679247
"DGTEC",325.00000000000006
"LINSAR",328.00000000000006
"QBELL",328.875
"SMTV",336.4
"ELITELUX",343
"VEON",356.4
"SHARP",358.9
"CHIQ",367.3720930232558
"SIGNIFY",378
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD",378.5
"S VISION",379
"EKO",383.8247422680411
"BLAUPUNKT",401.41428571428565
"KOGAN",404.4528301886795
"METZ",428
"PHILIPS",428.1076923076923
"HYUNDAI",435.7142857142857
"TOSHIBA",436.54
"PALSONIC",439
"DEVANTI",443
"SKYWORTH",450.8181818181818
"PRISM+",451.625
"TAVICE",477
"HITACHI",485
"LG",495.7825443786977
"HISENSE",539.9280303030307
"SAMSUNG",567.4382826475852
"SONY",586.6185567010309
"TCL",606.3225806451613
"EMETE",679.3999999999999
